pr,jira_key,sp,title,merged_at,days_open,comments,adoc_files,adoc_added,adoc_deleted,adoc_total,other_files,other_added,other_deleted,other_total,total_lines,new_adoc_files,assembly_files,image_files,commits
1645,RHDHBUGS-2419,1,[release-1.8] RHDHBUGS-2419: Changing note to mention workaround in this version,2025-12-12,0.0,2,2,4,7,11,0,0,0,0,11,0,0,0,2
1644,RHIDP-8377,13,RHIDP:8377: Getting Started for Developers,2025-12-17,5.0,2,30,266,275,541,0,0,0,0,541,7,0,0,3
1643,RHIDP-9238,5,[release-1.8] RHIDP-9238: Troubleshooting Guide,2025-12-12,0.8,2,6,350,0,350,0,0,0,0,350,5,0,0,14
1642,RHIDP-9238,5,[release-1.7] RHIDP-9238: Troubleshooting Guide,2025-12-12,0.8,2,6,350,0,350,0,0,0,0,350,5,0,0,14
1641,,,[release-1.8] [RHDHBUGS#2427] improve clarity of adoption insights upgrade requirements,2025-12-11,0.0,2,1,2,2,4,0,0,0,0,4,0,0,0,1
1640,,,[RHDHBUGS#2427] improve clarity of adoption insights upgrade requirements,2025-12-11,0.0,4,1,2,2,4,0,0,0,0,4,0,0,0,1
1639,RHDHBUGS-2423,2,[main] RHDHBUGS-2423 - Fix missing Quickstart RBAC configuration content,2025-12-10,0.0,2,3,6,4,10,0,0,0,0,10,0,0,0,1
1638,RHDHBUGS-2423,2,RHDHBUGS-2423 - Fix missing Quickstart RBAC configuration content,2025-12-10,0.0,5,3,6,4,10,0,0,0,0,10,0,0,0,1
1637,RHDHBUGS-2419,1,RHDHBUGS-2419: Changing note to mention workaround in this version,2025-12-12,2.3,4,2,4,7,11,0,0,0,0,11,0,0,0,2
1635,RHDHBUGS-2402,1,[release-1.8] RHDHBUGS-2402: Fixed yaml indentation error,2025-12-09,0.0,1,1,18,18,36,0,0,0,0,36,0,0,0,1
1634,RHDHBUGS-2402,1,RHDHBUGS-2402: Fixed yaml indentation error,2025-12-09,0.1,4,1,18,18,36,0,0,0,0,36,0,0,0,1
1632,RHDHBUGS-2302,2,[release-1.8] RHDHBUGS-2302 - Add Explanation of npx @red-hat-developer-hub/cli package export Command,2025-12-08,0.0,1,1,12,0,12,0,0,0,0,12,1,0,0,7
1631,RHIDP-9751,5,[release-1.8] RHIDP-9751 - fix link,2025-12-08,0.0,1,1,1,1,2,0,0,0,0,2,0,0,0,1
1630,RHIDP-9751,5,RHIDP-9751 - fix link,2025-12-08,0.0,4,1,1,1,2,0,0,0,0,2,0,0,0,1
1629,RHDHBUGS-2300,5,Manual cherry-pick-RHDHBUGS-2300,2025-12-08,0.0,1,5,138,0,138,0,0,0,0,138,5,0,0,1
1628,RHIDP-9238,5,RHIDP-9238: Troubleshooting Guide,2025-12-11,3.2,13,6,350,0,350,0,0,0,0,350,5,0,0,14
1627,RHIDP-9793,3,[release-1.8] RHIDP-9793 Pass htmltest in CI,2025-12-08,0.0,1,0,0,0,0,1,6,0,6,6,0,0,0,1
1626,RHDHBUGS-2300,5,[release-1.8] RHDHBUGS-2300: Improve Documentation on When and Why Frontend Plugin Wiring Is Required,2025-12-08,0.1,1,5,138,0,138,0,0,0,0,138,5,0,0,11
1625,RHIDP-8066,8,RHIDP-8066: time syntax,2025-12-19,14.3,3,6,83,23,106,0,0,0,0,106,1,0,0,7
1624,RHDHBUGS-2316,1,[release-1.8] RHDHBUGS-2316: fixed broken link,2025-12-08,3.5,1,1,1,1,2,0,0,0,0,2,0,0,0,4
1623,RHDHBUGS-2302,2,RHDHBUGS-2302 - Add Explanation of npx @red-hat-developer-hub/cli package export Command,2025-12-08,4.3,7,1,12,0,12,0,0,0,0,12,1,0,0,10
1622,RHDHBUGS-2300,5,RHDHBUGS-2300: Improve Documentation on When and Why Frontend Plugin Wiring Is Required,2025-12-08,4.4,7,5,138,0,138,0,0,0,0,138,5,0,0,11
1621,,,[release-1.8] Minor fix,2025-12-02,0.0,1,1,2,2,4,0,0,0,0,4,0,0,0,2
1620,,,[release-1.7] Minor fix,2025-12-02,0.0,1,1,2,2,4,0,0,0,0,4,0,0,0,2
1619,,,Minor fix,2025-12-02,0.0,7,1,2,2,4,0,0,0,0,4,0,0,0,2
1618,RHDHBUGS-2274,2,[release-1.8] RHDHBUGS-2274: Changes to the RHOAI docs,2025-12-02,0.0,1,4,40,36,76,0,0,0,0,76,0,0,0,8
1617,,,Manual cherry-pick: Restructure Orchestrator documentation,2025-12-02,0.1,1,29,161,128,289,0,0,0,0,289,4,0,0,2
1616,RHIDP-9237,5,[release-1.8] RHIDP-9237: Restructuring the existing Orchestrator Documentation,2025-12-02,0.0,1,30,165,145,310,0,0,0,0,310,5,0,0,14
1614,RHDHBUGS-2280,2,[release-1.8] RHDHBUGS-2280 - Remove Operator Flavors title,2025-12-01,0.1,1,1,0,8,8,5,0,16,16,24,0,0,0,1
1613,RHIDP-9646,2,[release-1.8] RHIDP-9646: Minor changes,2025-11-28,0.0,1,2,2,2,4,0,0,0,0,4,0,0,0,1
1612,RHIDP-9646,2,RHIDP-9646: Minor changes,2025-11-28,0.0,4,2,2,2,4,0,0,0,0,4,0,0,0,1
1611,RHIDP-9646,2,[release-1.8] RHIDP-9646: Modularization for the new content,2025-11-28,0.0,1,6,30,31,61,0,0,0,0,61,0,0,0,1
1610,RHDHBUGS-2316,1,RHDHBUGS-2316: fixed broken link,2025-12-04,6.9,7,1,1,1,2,0,0,0,0,2,0,0,0,4
1609,,,Update the orchestrator plugin version,2025-11-27,0.0,1,1,1,0,1,0,0,0,0,1,0,0,0,1
1608,,,Update the orchestrator plugin version,2025-11-27,0.1,1,1,1,0,1,0,0,0,0,1,0,0,0,1
1607,RHIDP-9936,,RHIDP-9936: Release notes for Red Hat Developer Hub 1.7.3,2025-12-01,4.5,3,1,2,0,2,0,0,0,0,2,0,0,0,2
1606,,,Bump to 1.7.3 in release 1.7,2025-11-27,0.4,1,1,2,2,4,0,0,0,0,4,0,0,0,1
1605,,,Bump to 1.8.2 in release-1.8 branch,2025-11-27,0.7,1,1,2,2,4,0,0,0,0,4,0,0,0,2
1604,RHIDP-9237,5,RHIDP-9237: Restructuring the existing Orchestrator Documentation,2025-12-02,6.7,15,31,166,145,311,0,0,0,0,311,5,0,0,14
1602,RHDHBUGS-2062,3,[release-1.8] RHDHBUGS-2062: Update RHDH Air-gapped Installation for oc-mirror v2 as oc-mirror v1 is deprecated since OC,2025-11-25,0.0,1,2,19,38,57,0,0,0,0,57,0,0,0,4
1601,RHDHBUGS-2062,3,[release-1.7] RHDHBUGS-2062: Update RHDH Air-gapped Installation for oc-mirror v2 as oc-mirror v1 is deprecated since OC,2025-11-25,0.0,1,2,19,38,57,0,0,0,0,57,0,0,0,4
1600,RHDHBUGS-2192,2,RHDHBUGS-2192: Add note in the upgrade instructions-Manual cherry-pick,2025-11-25,0.0,1,1,6,0,6,0,0,0,0,6,1,0,0,1
1599,RHDHBUGS-2192,2,[release-1.8] RHDHBUGS-2192: Add note in the upgrade instructions highlighting limitation when upgrading CLI-deployed He,2025-11-25,0.0,1,1,6,0,6,0,0,0,0,6,1,0,0,3
1598,RHIDP-3219,3,[release-1.7] RHIDP-3219: Improve docs for installing on EKS with Helm,2025-11-25,0.0,1,3,6,0,6,0,0,0,0,6,0,0,0,8
1597,RHIDP-3219,3,[release-1.8] RHIDP-3219: Improve docs for installing on EKS with Helm,2025-11-25,0.0,1,3,6,0,6,0,0,0,0,6,0,0,0,8
1596,RHIDP-9646,2,RHIDP-9646: Modularization for the new content,2025-11-28,3.1,6,6,30,31,61,0,0,0,0,61,0,0,0,1
1595,RHDHBUGS-2192,2,RHDHBUGS-2192: Add note in the upgrade instructions highlighting limitation when upgrading CLI-deployed Helm releases,2025-11-25,4.7,6,1,6,0,6,0,0,0,0,6,1,0,0,3
1594,RHIDP-3219,3,RHIDP-3219: Improve docs for installing on EKS with Helm,2025-11-25,4.9,6,3,6,0,6,0,0,0,0,6,0,0,0,8
1593,RHIDP-7912,5,cherry-pick: RHIDP-7912: omitIdentityTokenOwnershipClaim flag (#1487),2025-12-08,18.0,1,3,31,0,31,0,0,0,0,31,2,0,0,1
1592,RHDHBUGS-2062,3,RHDHBUGS-2062: Update RHDH Air-gapped Installation for oc-mirror v2 as oc-mirror v1 is deprecated since OCP 4.18,2025-11-25,5.9,8,2,19,38,57,0,0,0,0,57,0,0,0,4
1591,RHDHBUGS-2257,2,[release-1.8] RHDHBUGS-2257: Added GitHub token option,2025-11-19,0.0,1,1,56,27,83,0,0,0,0,83,0,0,0,8
1590,RHDHBUGS-2281,1,[release-1.8] RHDHBUGS-2281: Added link to MUI icons,2025-11-19,0.0,1,1,40,6,46,0,0,0,0,46,0,0,0,4
1589,,,[release-1.8] RHIDP:9680: Added missing content for LS and image updates,2025-11-19,0.0,1,5,99,90,189,1,0,0,0,189,0,0,1,9
1588,RHDHBUGS-2274,2,RHDHBUGS-2274: Changes to the RHOAI docs,2025-12-02,13.3,9,4,40,36,76,0,0,0,0,76,0,0,0,8
1587,RHIDP-9793,3,RHIDP-9793 Pass htmltest in CI,2025-11-18,0.0,4,0,0,0,0,1,6,0,6,6,0,0,0,1
1586,RHIDP-9833,3,RHIDP-9833 Updated release notes script config and removed stale content.,2025-11-18,0.0,0,6,0,296,296,1,25,25,50,346,0,0,0,2
1585,,,Add Creative Commons license URL to ignore list,2025-11-18,0.0,1,0,0,0,0,1,1,0,1,1,0,0,0,1
1584,RHIDP-9751,5,RHIDP-9751 - fixed broken links - backport #1570 to release-1.8,2025-11-18,0.0,0,19,60,69,129,3,16,5,21,150,0,0,0,2
1583,RHDHBUGS-2257,2,RHDHBUGS-2257: Added GitHub token option,2025-11-19,2.2,6,1,56,27,83,0,0,0,0,83,0,0,0,8
1581,RHDHBUGS-2281,1,RHDHBUGS-2281: Added link to MUI icons,2025-11-19,2.2,5,1,40,6,46,0,0,0,0,46,0,0,0,4
1580,RHIDP-3395,1,[release-1.7] RHIDP-3395: app-config.yaml vs. app-config-rhdh.yaml,2025-11-17,0.0,1,4,6,6,12,0,0,0,0,12,0,0,0,1
1579,RHIDP-3395,1,[release-1.8] RHIDP-3395: app-config.yaml vs. app-config-rhdh.yaml,2025-11-17,0.0,1,4,6,6,12,0,0,0,0,12,0,0,0,1
1578,RHDHBUGS-2280,2,RHDHBUGS-2280 - Remove Operator Flavors title,2025-12-01,16.9,9,1,0,8,8,5,0,16,16,24,0,0,0,1
1577,,,[release-1.8] Update link in the Upgrade,2025-11-14,0.0,1,2,2,2,4,0,0,0,0,4,0,0,0,1
